Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Professional,Beginner,Poor,Poor,Average,Poor,Poor,Poor,Intermediate,Professional,Poor,Average,Average,Intermediate,Average,Average,Beginner,Poor,Chartered Accountant
Intermediate,Professional,Beginner,Intermediate,Intermediate,Average,Professional,Poor,Intermediate,Intermediate,Beginner,Average,Average,Intermediate,Intermediate,Beginner,Average,Intermediate,Chartered Accountant
Poor,Professional,Professional,Beginner,Poor,Beginner,Average,Professional,Professional,Beginner,Average,Intermediate,Beginner,Poor,Average,Poor,Professional,Beginner,Chartered Accountant
Professional,Poor,Intermediate,Intermediate,Average,Intermediate,Beginner,Poor,Beginner,Beginner,Beginner,Average,Beginner,Intermediate,Poor,Poor,Professional,Beginner,Chartered Accountant
Intermediate,Professional,Poor,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Intermediate,Poor,Professional,Average,Beginner,Professional,Beginner,Chartered Accountant
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Intermediate,Beginner,Beginner,Professional,Poor,Poor,Poor,Intermediate,Professional,Intermediate,Average,Chartered Accountant
Average,Professional,Poor,Average,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Poor,Average,Professional,Poor,Intermediate,Beginner,Beginner,Professional,Chartered Accountant
Intermediate,Beginner,Poor,Intermediate,Professional,Professional,Beginner,Poor,Average,Intermediate,Average,Poor,Poor,Professional,Beginner,Average,Beginner,Intermediate,Chartered Accountant
Beginner,Professional,Beginner,Professional,Intermediate,Average,Average,Beginner,Beginner,Poor,Professional,Professional,Professional,Poor,Beginner,Beginner,Average,Poor,Chartered Accountant
Poor,Intermediate,Professional,Beginner,Professional,Average,Professional,Intermediate,Beginner,Beginner,Professional,Average,Professional,Beginner,Poor,Professional,Beginner,Intermediate,Chartered Accountant
Professional,Intermediate,Average,Professional,Intermediate,Average,Intermediate,Poor,Poor,Poor,Beginner,Poor,Intermediate,Average,Average,Beginner,Beginner,Intermediate,Chartered Accountant
Intermediate,Poor,Poor,Professional,Professional,Professional,Poor,Beginner,Poor,Intermediate,Intermediate,Poor,Beginner,Average,Beginner,Beginner,Beginner,Professional,Chartered Accountant
Beginner,Beginner,Beginner,Intermediate,Beginner,Average,Intermediate,Intermediate,Poor,Average,Beginner,Beginner,Beginner,Average,Poor,Average,Average,Professional,Chartered Accountant
Average,Beginner,Poor,Intermediate,Average,Intermediate,Professional,Intermediate,Professional,Poor,Poor,Average,Beginner,Average,Intermediate,Beginner,Professional,Professional,Chartered Accountant
Professional,Average,Beginner,Poor,Average,Professional,Intermediate,Poor,Beginner,Professional,Professional,Poor,Professional,Beginner,Professional,Average,Average,Beginner,Chartered Accountant
Average,Professional,Professional,Intermediate,Beginner,Average,Intermediate,Average,Average,Intermediate,Beginner,Intermediate,Intermediate,Poor,Average,Average,Beginner,Beginner,Chartered Accountant
Beginner,Poor,Beginner,Average,Poor,Poor,Poor,Average,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Average,Beginner,Professional,Professional,Chartered Accountant
Intermediate,Professional,Average,Average,Average,Poor,Poor,Intermediate,Professional,Beginner,Average,Poor,Average,Poor,Beginner,Professional,Beginner,Poor,Chartered Accountant
Average,Intermediate,Beginner,Intermediate,Poor,Average,Professional,Intermediate,Beginner,Beginner,Beginner,Professional,Poor,Beginner,Poor,Intermediate,Average,Professional,Chartered Accountant
Intermediate,Professional,Intermediate,Beginner,Poor,Poor,Average,Poor,Intermediate,Average,Professional,Intermediate,Beginner,Beginner,Average,Average,Beginner,Poor,Chartered Accountant
Average,Professional,Average,Intermediate,Intermediate,Beginner,Professional,Professional,Professional,Average,Intermediate,Poor,Poor,Intermediate,Average,Professional,Poor,Beginner,Chartered Accountant
Average,Beginner,Beginner,Poor,Professional,Poor,Poor,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Average,Poor,Professional,Beginner,Average,Chartered Accountant
Beginner,Poor,Average,Professional,Poor,Professional,Beginner,Beginner,Poor,Intermediate,Intermediate,Intermediate,Professional,Average,Poor,Professional,Poor,Average,Chartered Accountant
Intermediate,Intermediate,Beginner,Professional,Professional,Beginner,Beginner,Beginner,Intermediate,Professional,Beginner,Poor,Intermediate,Poor,Poor,Beginner,Professional,Average,Chartered Accountant
Poor,Intermediate,Average,Average,Intermediate,Professional,Professional,Average,Average,Intermediate,Professional,Professional,Poor,Beginner,Professional,Average,Beginner,Average,Chartered Accountant
Poor,Professional,Intermediate,Beginner,Beginner,Intermediate,Professional,Average,Professional,Average,Poor,Poor,Poor,Beginner,Average,Average,Professional,Average,Chartered Accountant
Beginner,Average,Average,Intermediate,Average,Average,Poor,Intermediate,Professional,Intermediate,Poor,Beginner,Beginner,Average,Professional,Poor,Poor,Poor,Chartered Accountant
Professional,Intermediate,Intermediate,Average,Average,Average,Intermediate,Beginner,Beginner,Average,Poor,Intermediate,Average,Intermediate,Average,Poor,Beginner,Intermediate,Chartered Accountant
Professional,Poor,Professional,Beginner,Average,Beginner,Professional,Poor,Professional,Poor,Poor,Poor,Average,Poor,Intermediate,Beginner,Professional,Intermediate,Chartered Accountant
Intermediate,Intermediate,Beginner,Professional,Poor,Beginner,Average,Professional,Poor,Average,Professional,Poor,Poor,Poor,Intermediate,Beginner,Professional,Intermediate,Chartered Accountant
Beginner,Poor,Professional,Poor,Intermediate,Beginner,Intermediate,Beginner,Average,Poor,Professional,Beginner,Professional,Average,Beginner,Poor,Intermediate,Intermediate,Chartered Accountant
Professional,Intermediate,Poor,Beginner,Beginner,Professional,Professional,Poor,Average,Professional,Intermediate,Beginner,Poor,Average,Professional,Intermediate,Beginner,Beginner,Chartered Accountant
Beginner,Beginner,Intermediate,Professional,Professional,Beginner,Beginner,Average,Professional,Beginner,Beginner,Intermediate,Professional,Poor,Professional,Poor,Professional,Beginner,Chartered Accountant
Professional,Average,Poor,Intermediate,Beginner,Professional,Average,Professional,Professional,Beginner,Professional,Average,Professional,Poor,Poor,Intermediate,Poor,Intermediate,Chartered Accountant
Beginner,Beginner,Professional,Poor,Poor,Average,Poor,Poor,Professional,Professional,Poor,Professional,Average,Average,Beginner,Beginner,Beginner,Poor,Chartered Accountant
Intermediate,Poor,Average,Professional,Average,Professional,Intermediate,Professional,Average,Poor,Average,Average,Beginner,Poor,Professional,Poor,Beginner,Beginner,Chartered Accountant
Poor,Average,Professional,Intermediate,Poor,Intermediate,Professional,Professional,Poor,Beginner,Professional,Professional,Poor,Professional,Average,Intermediate,Intermediate,Professional,Chartered Accountant
Poor,Poor,Professional,Intermediate,Poor,Beginner,Poor,Professional,Average,Average,Intermediate,Average,Average,Average,Professional,Professional,Professional,Beginner,Chartered Accountant
Intermediate,Beginner,Beginner,Intermediate,Intermediate,Average,Intermediate,Beginner,Average,Professional,Average,Professional,Beginner,Intermediate,Intermediate,Poor,Intermediate,Poor,Chartered Accountant
Average,Professional,Average,Average,Poor,Average,Poor,Beginner,Beginner,Intermediate,Poor,Poor,Poor,Professional,Professional,Beginner,Poor,Beginner,Chartered Accountant
Poor,Professional,Poor,Average,Professional,Intermediate,Professional,Beginner,Beginner,Professional,Poor,Beginner,Poor,Professional,Professional,Beginner,Professional,Intermediate,Chartered Accountant
Poor,Average,Poor,Intermediate,Beginner,Intermediate,Intermediate,Average,Poor,Beginner,Intermediate,Beginner,Professional,Beginner,Poor,Poor,Professional,Average,Chartered Accountant
Poor,Average,Professional,Average,Average,Poor,Average,Poor,Intermediate,Professional,Intermediate,Intermediate,Poor,Average,Intermediate,Poor,Beginner,Average,Chartered Accountant
Intermediate,Average,Beginner,Poor,Intermediate,Beginner,Professional,Intermediate,Average,Poor,Intermediate,Beginner,Intermediate,Average,Poor,Poor,Poor,Average,Chartered Accountant
Intermediate,Professional,Intermediate,Intermediate,Average,Professional,Beginner,Professional,Poor,Intermediate,Professional,Poor,Intermediate,Beginner,Poor,Average,Intermediate,Poor,Chartered Accountant
Average,Beginner,Intermediate,Professional,Average,Average,Intermediate,Beginner,Beginner,Professional,Poor,Average,Average,Intermediate,Beginner,Professional,Professional,Professional,Chartered Accountant
Poor,Poor,Beginner,Poor,Average,Beginner,Intermediate,Poor,Intermediate,Intermediate,Poor,Beginner,Intermediate,Beginner,Professional,Professional,Professional,Average,Chartered Accountant
Average,Professional,Intermediate,Professional,Poor,Poor,Average,Poor,Poor,Intermediate,Average,Beginner,Beginner,Beginner,Professional,Beginner,Average,Intermediate,Chartered Accountant
Beginner,Professional,Beginner,Poor,Average,Poor,Intermediate,Professional,Average,Intermediate,Professional,Average,Intermediate,Professional,Average,Beginner,Average,Beginner,Chartered Accountant
Poor,Intermediate,Intermediate,Average,Poor,Professional,Poor,Professional,Intermediate,Average,Intermediate,Poor,Intermediate,Beginner,Average,Beginner,Professional,Beginner,Chartered Accountant
Poor,Poor,Poor,Average,Professional,Poor,Intermediate,Beginner,Beginner,Average,Professional,Intermediate,Beginner,Poor,Intermediate,Beginner,Professional,Intermediate,Chartered Accountant
Poor,Average,Beginner,Intermediate,Average,Intermediate,Beginner,Average,Beginner,Intermediate,Average,Average,Poor,Poor,Intermediate,Average,Intermediate,Professional,Chartered Accountant
Poor,Average,Intermediate,Intermediate,Intermediate,Beginner,Poor,Average,Beginner,Average,Intermediate,Beginner,Beginner,Poor,Poor,Intermediate,Poor,Average,Chartered Accountant
Poor,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Beginner,Professional,Average,Professional,Average,Poor,Poor,Beginner,Intermediate,Average,Chartered Accountant
Average,Intermediate,Poor,Beginner,Beginner,Average,Intermediate,Intermediate,Intermediate,Professional,Professional,Average,Intermediate,Beginner,Poor,Professional,Intermediate,Poor,Chartered Accountant
Poor,Intermediate,Beginner,Professional,Average,Average,Professional,Professional,Intermediate,Average,Average,Intermediate,Intermediate,Professional,Poor,Professional,Intermediate,Beginner,Chartered Accountant
Average,Intermediate,Beginner,Poor,Beginner,Intermediate,Beginner,Professional,Beginner,Beginner,Beginner,Intermediate,Poor,Intermediate,Poor,Professional,Average,Beginner,Chartered Accountant
Beginner,Intermediate,Average,Professional,Poor,Average,Intermediate,Average,Professional,Professional,Intermediate,Intermediate,Average,Average,Beginner,Average,Average,Average,Chartered Accountant
Average,Intermediate,Beginner,Intermediate,Poor,Average,Average,Poor,Average,Professional,Beginner,Beginner,Poor,Professional,Professional,Beginner,Average,Poor,Chartered Accountant
Beginner,Poor,Professional,Professional,Beginner,Poor,Beginner,Intermediate,Poor,Poor,Beginner,Beginner,Professional,Beginner,Professional,Average,Professional,Professional,Chartered Accountant
Poor,Poor,Average,Professional,Professional,Beginner,Average,Intermediate,Poor,Professional,Beginner,Average,Poor,Average,Intermediate,Professional,Intermediate,Poor,Chartered Accountant
Professional,Intermediate,Beginner,Poor,Professional,Professional,Intermediate,Average,Professional,Beginner,Average,Beginner,Beginner,Poor,Professional,Average,Beginner,Average,Chartered Accountant
Average,Poor,Average,Professional,Poor,Poor,Beginner,Beginner,Poor,Intermediate,Average,Poor,Average,Poor,Professional,Professional,Beginner,Average,Chartered Accountant
Beginner,Average,Average,Intermediate,Beginner,Poor,Average,Poor,Average,Average,Beginner,Intermediate,Poor,Average,Beginner,Professional,Professional,Professional,Chartered Accountant
Average,Beginner,Average,Beginner,Intermediate,Beginner,Beginner,Professional,Poor,Poor,Beginner,Intermediate,Average,Intermediate,Average,Intermediate,Poor,Intermediate,Chartered Accountant
Professional,Intermediate,Poor,Average,Professional,Professional,Intermediate,Poor,Average,Average,Professional,Average,Poor,Poor,Poor,Average,Poor,Beginner,Chartered Accountant
Average,Average,Poor,Poor,Intermediate,Intermediate,Average,Beginner,Intermediate,Intermediate,Intermediate,Average,Average,Beginner,Average,Poor,Professional,Professional,Chartered Accountant
Professional,Professional,Poor,Poor,Beginner,Poor,Intermediate,Average,Intermediate,Beginner,Poor,Poor,Beginner,Average,Poor,Beginner,Beginner,Intermediate,Chartered Accountant
Intermediate,Poor,Beginner,Poor,Average,Average,Poor,Poor,Intermediate,Beginner,Beginner,Intermediate,Average,Poor,Beginner,Beginner,Professional,Beginner,Chartered Accountant
Poor,Intermediate,Intermediate,Professional,Professional,Intermediate,Poor,Beginner,Average,Poor,Average,Average,Average,Beginner,Poor,Intermediate,Professional,Professional,Chartered Accountant
Poor,Poor,Poor,Average,Professional,Professional,Intermediate,Poor,Beginner,Intermediate,Professional,Average,Professional,Average,Intermediate,Intermediate,Intermediate,Poor,Chartered Accountant
Beginner,Beginner,Intermediate,Poor,Average,Average,Professional,Average,Poor,Poor,Poor,Poor,Poor,Average,Poor,Beginner,Poor,Professional,Chartered Accountant
Beginner,Professional,Average,Poor,Intermediate,Poor,Beginner,Average,Poor,Poor,Poor,Beginner,Intermediate,Professional,Beginner,Intermediate,Average,Beginner,Chartered Accountant
Poor,Intermediate,Intermediate,Poor,Intermediate,Poor,Intermediate,Intermediate,Beginner,Poor,Beginner,Intermediate,Average,Beginner,Average,Intermediate,Intermediate,Intermediate,Chartered Accountant
Professional,Beginner,Beginner,Average,Intermediate,Intermediate,Beginner,Poor,Intermediate,Average,Average,Poor,Poor,Professional,Average,Professional,Poor,Average,Chartered Accountant
Poor,Intermediate,Poor,Beginner,Poor,Average,Beginner,Poor,Intermediate,Average,Intermediate,Professional,Poor,Average,Poor,Beginner,Beginner,Poor,Chartered Accountant
Beginner,Professional,Poor,Intermediate,Professional,Professional,Intermediate,Beginner,Professional,Intermediate,Poor,Average,Average,Intermediate,Professional,Poor,Professional,Beginner,Chartered Accountant
Intermediate,Professional,Beginner,Professional,Poor,Average,Intermediate,Beginner,Average,Beginner,Professional,Average,Professional,Professional,Intermediate,Beginner,Average,Beginner,Chartered Accountant
